cuda
Initialize dataset with 5597742 characters, 113 unique.
embed_dim: 32
[2020-11-29 18:23] Train Step 0049/1000000, Batch Size = 64,                     Examples/Sec = 5456.67, Accuracy = 0.29, Loss = 2.759
[2020-11-29 18:23] Train Step 0099/1000000, Batch Size = 64,                     Examples/Sec = 5528.94, Accuracy = 0.39, Loss = 2.282
[2020-11-29 18:23] Train Step 0149/1000000, Batch Size = 64,                     Examples/Sec = 6151.84, Accuracy = 0.40, Loss = 2.135
[2020-11-29 18:23] Train Step 0199/1000000, Batch Size = 64,                     Examples/Sec = 5642.25, Accuracy = 0.41, Loss = 2.087
[2020-11-29 18:23] Train Step 0249/1000000, Batch Size = 64,                     Examples/Sec = 5247.29, Accuracy = 0.43, Loss = 2.023
[2020-11-29 18:23] Train Step 0299/1000000, Batch Size = 64,                     Examples/Sec = 5344.76, Accuracy = 0.44, Loss = 1.934
[2020-11-29 18:23] Train Step 0349/1000000, Batch Size = 64,                     Examples/Sec = 5545.39, Accuracy = 0.45, Loss = 1.905
[2020-11-29 18:23] Train Step 0399/1000000, Batch Size = 64,                     Examples/Sec = 5475.15, Accuracy = 0.47, Loss = 1.858
[2020-11-29 18:23] Train Step 0449/1000000, Batch Size = 64,                     Examples/Sec = 5484.21, Accuracy = 0.47, Loss = 1.824
[2020-11-29 18:23] Train Step 0499/1000000, Batch Size = 64,                     Examples/Sec = 5943.31, Accuracy = 0.47, Loss = 1.818
[2020-11-29 18:23] Train Step 0549/1000000, Batch Size = 64,                     Examples/Sec = 5777.53, Accuracy = 0.48, Loss = 1.801
[2020-11-29 18:23] Train Step 0599/1000000, Batch Size = 64,                     Examples/Sec = 5158.85, Accuracy = 0.44, Loss = 1.871
[2020-11-29 18:23] Train Step 0649/1000000, Batch Size = 64,                     Examples/Sec = 5243.19, Accuracy = 0.49, Loss = 1.754
[2020-11-29 18:23] Train Step 0699/1000000, Batch Size = 64,                     Examples/Sec = 5391.14, Accuracy = 0.48, Loss = 1.791
[2020-11-29 18:23] Train Step 0749/1000000, Batch Size = 64,                     Examples/Sec = 5329.38, Accuracy = 0.46, Loss = 1.816
[2020-11-29 18:23] Train Step 0799/1000000, Batch Size = 64,                     Examples/Sec = 5891.39, Accuracy = 0.49, Loss = 1.720
[2020-11-29 18:23] Train Step 0849/1000000, Batch Size = 64,                     Examples/Sec = 5224.72, Accuracy = 0.48, Loss = 1.778
[2020-11-29 18:23] Train Step 0899/1000000, Batch Size = 64,                     Examples/Sec = 5597.65, Accuracy = 0.47, Loss = 1.769
[2020-11-29 18:23] Train Step 0949/1000000, Batch Size = 64,                     Examples/Sec = 5281.46, Accuracy = 0.49, Loss = 1.750
